indice,atributo,valoracion1,valoracion2,valoracion3,valoracion4,valoracion5
1,Atributo 1,2,2,0,0,?
1,Atributo 2,2,1,2,?,?
1,Atributo 3,1,2,0,?,?
1,Atributo 4,0,4,4,1,1
1,Atributo 5,1,0,2,?,?
1,Atributo 6,1,3,3,3,0
1,Atributo 7,1,3,1,4,0
1,Atributo 8,2,3,3,3,?
1,Atributo 9,1,2,2,?,?
1,Atributo 10,2,3,0,1,?
1,Atributo 11,1,4,1,3,3
1,Atributo 12,2,2,2,?,?
1,Atributo 13,1,2,1,?,?
1,Atributo 14,1,1,3,2,?
1,Atributo 15,1,4,4,4,2
1,Atributo 16,3,1,3,2,?
1,Atributo 17,2,2,2,?,?
1,Atributo 18,0,1,2,2,2
1,Atributo 19,4,3,0,1,2
1,Atributo 20,1,0,3,1,?
2,Atributo 1,3,3,0,2,?
2,Atributo 2,2,2,1,?,?
2,Atributo 3,2,0,1,?,?
2,Atributo 4,3,3,0,1,1
2,Atributo 5,1,0,0,?,?
2,Atributo 6,0,0,2,0,3
2,Atributo 7,2,4,4,3,4
2,Atributo 8,3,1,1,1,?
2,Atributo 9,2,0,1,?,?
2,Atributo 10,0,2,3,0,?
2,Atributo 11,4,3,1,3,0
2,Atributo 12,1,2,0,?,?
2,Atributo 13,2,2,2,?,?
2,Atributo 14,1,1,2,2,?
2,Atributo 15,3,1,0,4,3
2,Atributo 16,0,3,2,1,?
2,Atributo 17,0,1,2,?,?
2,Atributo 18,1,2,4,4,2
2,Atributo 19,0,4,4,1,3
2,Atributo 20,3,2,2,2,?
3,Atributo 1,0,3,3,3,?
3,Atributo 2,1,1,0,?,?
3,Atributo 3,0,1,2,?,?
3,Atributo 4,0,4,3,1,3
3,Atributo 5,0,0,1,?,?
3,Atributo 6,3,4,2,3,1
3,Atributo 7,1,2,3,0,3
3,Atributo 8,3,0,2,3,?
3,Atributo 9,1,0,0,?,?
3,Atributo 10,1,3,2,1,?
