indice,atributo,valoracion1,valoracion2,valoracion3,valoracion4,valoracion5
1,Atributo 1,1,1,3,2,0
1,Atributo 2,3,3,5,1,2
1,Atributo 3,2,3,1,0,0
1,Atributo 4,2,1,3,0,0
1,Atributo 5,1,4,2,5,3
1,Atributo 6,1,3,1,0,0
1,Atributo 7,1,2,2,0,0
1,Atributo 8,3,2,3,0,0
1,Atributo 9,2,3,2,0,0
1,Atributo 10,3,1,3,0,0
2,Atributo 1,2,1,2,1,0
2,Atributo 2,5,3,3,1,3
2,Atributo 3,3,1,3,0,0
2,Atributo 4,3,3,3,0,0
2,Atributo 5,3,2,2,4,5
2,Atributo 6,2,1,1,0,0
2,Atributo 7,1,1,2,0,0
2,Atributo 8,2,1,2,0,0
2,Atributo 9,1,2,1,0,0
2,Atributo 10,1,1,2,0,0
3,Atributo 1,4,1,4,2,0
3,Atributo 2,5,2,4,3,5
3,Atributo 3,3,2,2,0,0
3,Atributo 4,2,3,1,0,0
3,Atributo 5,2,2,1,4,1
3,Atributo 6,1,1,1,0,0
3,Atributo 7,3,3,1,0,0
3,Atributo 8,2,2,3,0,0
3,Atributo 9,1,3,2,0,0
3,Atributo 10,1,2,1,0,0
4,Atributo 1,1,2,2,4,0
4,Atributo 2,1,2,3,1,2
4,Atributo 3,2,2,1,0,0
4,Atributo 4,3,2,1,0,0
4,Atributo 5,1,3,1,4,4
4,Atributo 6,3,2,1,0,0
4,Atributo 7,1,3,2,0,0
4,Atributo 8,3,2,3,0,0
4,Atributo 9,3,1,2,0,0
4,Atributo 10,2,2,1,0,0
5,Atributo 1,1,1,3,3,0
5,Atributo 2,3,3,5,1,2
5,Atributo 3,2,3,3,0,0
5,Atributo 4,3,1,3,0,0
5,Atributo 5,1,4,2,5,3
5,Atributo 6,1,3,2,0,0
5,Atributo 7,1,3,2,0,0
5,Atributo 8,3,2,1,0,0
5,Atributo 9,2,3,2,0,0
5,Atributo 10,3,1,3,0,0
6,Atributo 1,1,1,3,2,0
6,Atributo 2,4,3,2,1,2
6,Atributo 3,3,3,1,0,0
6,Atributo 4,2,1,3,0,0
6,Atributo 5,1,3,2,2,3
6,Atributo 6,3,3,1,0,0
6,Atributo 7,1,2,2,0,0
6,Atributo 8,3,1,3,0,0
6,Atributo 9,3,3,3,0,0
6,Atributo 10,3,1,3,0,0
7,Atributo 1,1,1,2,4,0
7,Atributo 2,5,5,1,1,3
7,Atributo 3,2,1,3,0,0
7,Atributo 4,3,3,2,0,0
7,Atributo 5,3,2,2,5,5
7,Atributo 6,3,3,1,0,0
7,Atributo 7,1,1,2,0,0
7,Atributo 8,1,3,1,0,0
7,Atributo 9,3,2,1,0,0
7,Atributo 10,1,1,2,0,0
8,Atributo 1,2,1,2,1,0
8,Atributo 2,5,3,3,4,3
8,Atributo 3,3,1,3,0,0
8,Atributo 4,3,3,3,0,0
8,Atributo 5,2,4,2,4,5
8,Atributo 6,1,1,3,0,0
8,Atributo 7,1,1,2,0,0
8,Atributo 8,2,2,2,0,0
8,Atributo 9,1,2,1,0,0
8,Atributo 10,1,1,2,0,0
9,Atributo 1,4,1,2,2,0
9,Atributo 2,5,4,4,4,4
9,Atributo 3,2,2,3,0,0
9,Atributo 4,1,3,1,0,0
9,Atributo 5,4,2,1,4,1
9,Atributo 6,2,1,1,0,0
9,Atributo 7,3,3,1,0,0
9,Atributo 8,2,1,3,0,0
9,Atributo 9,2,3,1,0,0
9,Atributo 10,1,2,1,0,0
10,Atributo 1,4,1,4,1,0
10,Atributo 2,5,2,4,5,4
10,Atributo 3,3,1,3,0,0
10,Atributo 4,3,2,2,0,0
10,Atributo 5,4,2,1,4,2
10,Atributo 6,1,2,1,0,0
10,Atributo 7,3,3,1,0,0
10,Atributo 8,2,1,3,0,0
10,Atributo 9,1,3,2,0,0
10,Atributo 10,1,3,1,0,0
11,Atributo 1,1,2,2,3,0
11,Atributo 2,1,2,3,1,2
11,Atributo 3,2,2,1,0,0
11,Atributo 4,3,2,2,0,0
11,Atributo 5,1,3,5,4,3
11,Atributo 6,3,2,1,0,0
11,Atributo 7,1,2,2,0,0
11,Atributo 8,3,2,3,0,0
11,Atributo 9,3,2,2,0,0
11,Atributo 10,2,2,1,0,0
12,Atributo 1,4,2,4,4,0
12,Atributo 2,1,2,3,1,2
12,Atributo 3,1,2,1,0,0
12,Atributo 4,3,2,2,0,0
12,Atributo 5,5,3,1,1,4
12,Atributo 6,3,2,1,0,0
12,Atributo 7,1,3,2,0,0
12,Atributo 8,3,2,3,0,0
12,Atributo 9,3,1,1,0,0
12,Atributo 10,2,2,3,0,0
13,Atributo 1,2,2,2,2,0
13,Atributo 2,2,2,3,3,5
13,Atributo 3,1,1,3,0,0
13,Atributo 4,3,2,2,0,0
13,Atributo 5,2,3,4,5,1
13,Atributo 6,3,1,2,0,0
13,Atributo 7,3,2,3,0,0
