@relation aa-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute indice {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@attribute atributo {'Atributo 1','Atributo 2','Atributo 3','Atributo 4','Atributo 5','Atributo 6','Atributo 7','Atributo 8','Atributo 9','Atributo 10','Atributo 11','Atributo 12','Atributo 13','Atributo 14','Atributo 15','Atributo 16','Atributo 17','Atributo 18','Atributo 19','Atributo 20','Atributo 21','Atributo 22','Atributo 23','Atributo 24','Atributo 25','Atributo 26','Atributo 27','Atributo 28','Atributo 29','Atributo 30','Atributo 31','Atributo 32','Atributo 33','Atributo 34','Atributo 35','Atributo 36','Atributo 37','Atributo 38','Atributo 39','Atributo 40','Atributo 41','Atributo 42','Atributo 43','Atributo 44','Atributo 45','Atributo 46','Atributo 47','Atributo 48','Atributo 49','Atributo 50','Atributo 51','Atributo 52','Atributo 53','Atributo 54','Atributo 55','Atributo 56','Atributo 57','Atributo 58','Atributo 59','Atributo 60','Atributo 61','Atributo 62','Atributo 63','Atributo 64','Atributo 65','Atributo 66','Atributo 67','Atributo 68','Atributo 69','Atributo 70'}
@attribute valoracion1 {1,2,3,4,5}
@attribute valoracion2 {1,2,3,4,5}
@attribute valoracion3 {1,2,3,4,5}
@attribute valoracion4 {0,1,2,3,4,5}
@attribute valoracion5 {0,1,2,3,4,5}

@data
1,'Atributo 1',3,1,2,1,5
1,'Atributo 2',3,3,3,2,0
1,'Atributo 3',1,5,2,1,1
1,'Atributo 4',5,3,1,2,1
1,'Atributo 5',2,1,2,0,0
1,'Atributo 6',3,1,3,0,0
1,'Atributo 7',1,3,2,3,0
1,'Atributo 8',4,1,1,2,2
1,'Atributo 9',3,1,3,0,0
1,'Atributo 10',3,2,4,1,1
1,'Atributo 11',2,5,3,1,1
1,'Atributo 12',1,4,2,2,3
1,'Atributo 13',3,3,1,0,0
1,'Atributo 14',2,1,4,2,0
1,'Atributo 15',2,4,2,3,0
1,'Atributo 16',4,3,4,3,0
1,'Atributo 17',3,5,3,4,1
1,'Atributo 18',3,5,2,2,4
1,'Atributo 19',3,2,1,0,0
1,'Atributo 20',3,3,1,0,0
1,'Atributo 21',2,2,3,1,1
1,'Atributo 22',3,2,1,2,5
1,'Atributo 23',2,5,2,3,4
1,'Atributo 24',5,4,1,3,2
1,'Atributo 25',1,2,2,0,0
1,'Atributo 26',2,1,2,0,0
1,'Atributo 27',1,2,1,0,0
1,'Atributo 28',3,1,1,0,0
1,'Atributo 29',3,4,2,2,0
1,'Atributo 30',1,1,4,4,0
1,'Atributo 31',4,1,2,2,0
1,'Atributo 32',1,4,1,4,3
1,'Atributo 33',4,2,5,1,1
1,'Atributo 34',3,1,3,0,0
1,'Atributo 35',2,4,2,1,0
1,'Atributo 36',2,2,1,0,0
1,'Atributo 37',5,2,4,2,5
