indice,atributo,valoracion1,valoracion2,valoracion3,valoracion4,valoracion5
1,Atributo 1,2,2,3,0,0
1,Atributo 2,1,1,2,3,0
1,Atributo 3,3,3,4,2,1
1,Atributo 4,3,1,2,0,0
1,Atributo 5,3,1,1,4,0
1,Atributo 6,5,5,3,3,4
1,Atributo 7,5,3,4,5,3
1,Atributo 8,2,1,3,0,0
1,Atributo 9,2,1,2,0,0
1,Atributo 10,2,2,1,1,0
1,Atributo 11,2,2,4,1,0
1,Atributo 12,1,1,3,2,0
1,Atributo 13,4,2,3,4,1
1,Atributo 14,3,4,4,2,0
1,Atributo 15,5,4,5,4,3
1,Atributo 16,3,3,2,5,5
1,Atributo 17,1,2,1,0,0
1,Atributo 18,3,1,1,0,0
1,Atributo 19,4,5,3,3,3
1,Atributo 20,3,1,2,0,0
1,Atributo 21,5,2,2,1,5
1,Atributo 22,3,3,1,2,0
1,Atributo 23,3,2,5,1,2
1,Atributo 24,2,3,1,0,0
1,Atributo 25,3,3,2,0,0
1,Atributo 26,3,1,1,0,0
1,Atributo 27,5,3,5,1,1
1,Atributo 28,2,3,1,0,0
1,Atributo 29,2,4,2,4,5
1,Atributo 30,4,4,1,3,0
1,Atributo 31,2,1,5,3,2
1,Atributo 32,3,3,3,0,0
1,Atributo 33,2,2,2,0,0
1,Atributo 34,1,3,3,1,5
1,Atributo 35,1,4,4,3,5
1,Atributo 36,3,3,3,3,0
1,Atributo 37,2,3,2,2,0
1,Atributo 38,3,2,2,0,0
1,Atributo 39,4,1,5,5,4
1,Atributo 40,4,1,4,5,2
1,Atributo 41,2,3,4,2,4
1,Atributo 42,4,4,3,1,0
1,Atributo 43,2,3,2,1,0
1,Atributo 44,4,2,2,2,0
1,Atributo 45,3,2,1,0,0
1,Atributo 46,3,3,1,2,0
1,Atributo 47,3,4,2,2,0
1,Atributo 48,2,2,1,0,0
1,Atributo 49,4,3,1,4,4
1,Atributo 50,3,2,1,0,0
1,Atributo 51,4,4,3,3,0
1,Atributo 52,1,1,1,0,0
1,Atributo 53,5,4,1,4,3
1,Atributo 54,4,3,1,4,4
1,Atributo 55,2,3,1,4,5
1,Atributo 56,2,3,3,4,0
1,Atributo 57,3,1,1,1,5
1,Atributo 58,5,3,1,2,3
1,Atributo 59,2,3,2,3,0
1,Atributo 60,1,2,4,3,0
1,Atributo 61,3,2,2,0,0
1,Atributo 62,2,3,4,3,5
1,Atributo 63,4,4,2,1,2
2,Atributo 1,1,1,2,0,0
2,Atributo 2,4,1,1,4,0
2,Atributo 3,2,2,2,3,1
2,Atributo 4,2,2,1,0,0
2,Atributo 5,2,3,3,2,0
2,Atributo 6,3,1,4,2,2
2,Atributo 7,2,2,4,3,4
2,Atributo 8,2,3,1,0,0
2,Atributo 9,2,1,3,0,0
2,Atributo 10,1,2,1,2,0
2,Atributo 11,1,2,2,4,0
2,Atributo 12,4,4,1,2,0
2,Atributo 13,3,5,1,3,2
2,Atributo 14,3,2,4,2,0
2,Atributo 15,4,3,2,4,3
2,Atributo 16,4,5,1,2,3
2,Atributo 17,2,3,3,0,0
2,Atributo 18,3,1,1,0,0
2,Atributo 19,4,1,3,1,2
2,Atributo 20,3,2,1,0,0
2,Atributo 21,2,3,3,4,3
2,Atributo 22,1,3,3,1,0
2,Atributo 23,3,5,3,3,1
2,Atributo 24,3,1,3,0,0
2,Atributo 25,3,1,1,0,0
2,Atributo 26,1,3,3,0,0
2,Atributo 27,3,4,4,2,3
2,Atributo 28,3,1,3,0,0
2,Atributo 29,1,1,4,2,4
2,Atributo 30,2,3,2,4,0
2,Atributo 31,1,2,4,4,1
2,Atributo 32,3,3,2,0,0
2,Atributo 33,3,1,1,0,0
2,Atributo 34,5,4,3,5,5
2,Atributo 35,2,1,1,3,1
2,Atributo 36,2,2,1,1,0
2,Atributo 37,3,4,2,4,0
2,Atributo 38,3,3,3,0,0
2,Atributo 39,5,5,4,2,4
2,Atributo 40,5,1,3,5,1
2,Atributo 41,5,5,5,3,1
2,Atributo 42,3,3,1,4,0
2,Atributo 43,3,1,3,1,0
2,Atributo 44,3,4,3,3,0
2,Atributo 45,1,3,3,0,0
2,Atributo 46,2,2,2,3,0
2,Atributo 47,3,1,4,1,0
2,Atributo 48,2,1,3,0,0
2,Atributo 49,4,2,2,4,5
2,Atributo 50,2,3,1,0,0
2,Atributo 51,4,3,4,3,0
2,Atributo 52,2,1,2,0,0
2,Atributo 53,1,5,3,4,2
2,Atributo 54,1,5,4,2,4
2,Atributo 55,1,1,1,4,4
2,Atributo 56,2,4,4,3,0
2,Atributo 57,5,4,2,3,4
2,Atributo 58,4,1,2,5,5
2,Atributo 59,3,1,1,3,0
2,Atributo 60,2,4,2,4,0
2,Atributo 61,3,2,3,0,0
2,Atributo 62,5,2,1,4,5
2,Atributo 63,3,3,2,3,2
3,Atributo 1,3,1,1,0,0
3,Atributo 2,3,3,2,2,0
3,Atributo 3,4,5,2,5,3
3,Atributo 4,1,2,3,0,0
3,Atributo 5,2,3,1,2,0
3,Atributo 6,2,5,1,2,4
3,Atributo 7,5,3,4,5,1
3,Atributo 8,1,3,1,0,0
3,Atributo 9,3,3,3,0,0
3,Atributo 10,3,3,4,4,0
3,Atributo 11,1,1,1,1,0
3,Atributo 12,3,4,2,2,0
3,Atributo 13,1,2,4,3,5
3,Atributo 14,2,1,2,2,0
3,Atributo 15,2,5,3,5,5
3,Atributo 16,3,3,1,3,2
3,Atributo 17,3,3,2,0,0
3,Atributo 18,1,2,1,0,0
3,Atributo 19,1,3,3,2,5
3,Atributo 20,1,2,3,0,0
3,Atributo 21,4,1,3,2,1
3,Atributo 22,1,1,3,4,0
3,Atributo 23,3,1,1,2,1
3,Atributo 24,3,1,1,0,0
3,Atributo 25,3,1,3,0,0
3,Atributo 26,1,2,3,0,0
3,Atributo 27,3,3,1,2,5
3,Atributo 28,3,2,3,0,0
3,Atributo 29,2,5,3,3,1
3,Atributo 30,2,4,1,1,0
3,Atributo 31,3,2,5,3,2
3,Atributo 32,2,3,2,0,0
3,Atributo 33,3,1,3,0,0
3,Atributo 34,2,1,1,1,3
3,Atributo 35,1,1,4,3,4
3,Atributo 36,2,1,1,1,0
3,Atributo 37,2,1,3,2,0
3,Atributo 38,2,3,3,0,0
3,Atributo 39,4,5,4,5,4
3,Atributo 40,1,1,5,5,4
3,Atributo 41,2,1,4,3,3
3,Atributo 42,2,2,4,2,0
3,Atributo 43,1,1,2,4,0
3,Atributo 44,4,3,1,1,0
3,Atributo 45,3,1,2,0,0
3,Atributo 46,3,4,3,1,0
3,Atributo 47,1,3,4,2,0
3,Atributo 48,1,1,2,0,0
3,Atributo 49,2,5,5,1,1
3,Atributo 50,3,3,1,0,0
3,Atributo 51,2,1,1,4,0
3,Atributo 52,3,1,2,0,0
3,Atributo 53,2,2,5,5,4
3,Atributo 54,2,3,3,2,2
3,Atributo 55,2,4,4,1,4
3,Atributo 56,4,1,4,1,0
3,Atributo 57,5,2,2,5,2
3,Atributo 58,1,1,1,5,1
3,Atributo 59,3,1,4,3,0
3,Atributo 60,3,1,3,3,0
3,Atributo 61,1,3,3,0,0
3,Atributo 62,5,1,1,1,2
3,Atributo 63,1,4,4,2,1
4,Atributo 1,2,1,3,0,0
4,Atributo 2,2,4,3,2,0
4,Atributo 3,4,3,2,1,1
4,Atributo 4,2,2,1,0,0
4,Atributo 5,4,3,4,3,0
4,Atributo 6,1,1,5,5,3
4,Atributo 7,2,2,4,4,1
4,Atributo 8,1,3,2,0,0
4,Atributo 9,1,3,2,0,0
4,Atributo 10,2,4,1,1,0
4,Atributo 11,2,3,3,3,0
4,Atributo 12,4,3,4,3,0
4,Atributo 13,3,3,4,5,2
4,Atributo 14,1,1,1,3,0
4,Atributo 15,1,4,4,2,5
4,Atributo 16,1,5,3,4,2
4,Atributo 17,2,1,3,0,0
4,Atributo 18,2,3,2,0,0
4,Atributo 19,2,5,4,4,3
4,Atributo 20,1,1,2,0,0
4,Atributo 21,5,2,4,4,3
4,Atributo 22,1,4,3,3,0
4,Atributo 23,5,1,4,3,1
4,Atributo 24,1,1,2,0,0
4,Atributo 25,3,3,2,0,0
4,Atributo 26,1,1,1,0,0
4,Atributo 27,3,2,2,5,2
4,Atributo 28,2,2,2,0,0
4,Atributo 29,4,2,3,4,3
4,Atributo 30,3,1,4,2,0
4,Atributo 31,4,3,4,5,1
4,Atributo 32,3,1,1,0,0
4,Atributo 33,3,2,1,0,0
4,Atributo 34,4,3,3,2,4
4,Atributo 35,2,1,2,4,3
4,Atributo 36,4,2,2,2,0
4,Atributo 37,4,3,1,2,0
4,Atributo 38,1,2,1,0,0
4,Atributo 39,3,4,4,3,5
4,Atributo 40,3,1,2,2,5
4,Atributo 41,5,2,2,4,4
4,Atributo 42,4,4,4,1,0
4,Atributo 43,1,1,1,1,0
4,Atributo 44,3,1,4,2,0
4,Atributo 45,1,2,3,0,0
4,Atributo 46,4,4,1,2,0
4,Atributo 47,4,1,1,2,0
4,Atributo 48,2,1,1,0,0
4,Atributo 49,2,5,5,4,3
4,Atributo 50,1,2,3,0,0
4,Atributo 51,3,4,2,3,0
4,Atributo 52,1,1,3,0,0
4,Atributo 53,5,4,1,1,2
4,Atributo 54,5,5,5,2,2
4,Atributo 55,4,3,3,2,4
4,Atributo 56,3,2,1,2,0
4,Atributo 57,2,5,1,1,2
4,Atributo 58,2,4,2,4,3
4,Atributo 59,1,4,1,1,0
4,Atributo 60,3,4,1,2,0
4,Atributo 61,2,2,2,0,0
4,Atributo 62,1,4,1,4,2
4,Atributo 63,2,4,1,1,5
5,Atributo 1,2,2,1,0,0
5,Atributo 2,1,1,2,3,0
5,Atributo 3,3,3,4,4,1
5,Atributo 4,3,3,2,0,0
5,Atributo 5,3,1,3,2,0
5,Atributo 6,5,5,3,3,4
5,Atributo 7,5,3,4,5,3
5,Atributo 8,3,2,3,0,0
5,Atributo 9,2,3,2,0,0
5,Atributo 10,3,2,2,1,0
5,Atributo 11,1,2,4,1,0
5,Atributo 12,1,1,3,1,0
5,Atributo 13,4,2,4,4,1
5,Atributo 14,3,4,4,2,0
5,Atributo 15,1,5,5,4,2
5,Atributo 16,3,3,2,1,5
5,Atributo 17,2,2,1,0,0
5,Atributo 18,3,1,1,0,0
5,Atributo 19,4,5,1,3,5
5,Atributo 20,3,1,2,0,0
5,Atributo 21,5,2,2,1,3
5,Atributo 22,3,3,1,2,0
5,Atributo 23,3,2,5,2,2
5,Atributo 24,2,2,3,0,0
5,Atributo 25,3,2,2,0,0
5,Atributo 26,2,1,2,0,0
5,Atributo 27,5,3,4,1,1
5,Atributo 28,2,3,1,0,0
5,Atributo 29,2,4,1,2,5
5,Atributo 30,4,4,1,3,0
5,Atributo 31,2,1,5,3,2
5,Atributo 32,3,3,3,0,0
5,Atributo 33,2,2,2,0,0
5,Atributo 34,1,2,3,1,5
5,Atributo 35,2,4,4,3,5
5,Atributo 36,3,3,3,1,0
5,Atributo 37,2,3,2,4,0
5,Atributo 38,3,3,1,0,0
5,Atributo 39,4,1,4,5,4
5,Atributo 40,1,1,2,5,2
5,Atributo 41,4,3,2,2,4
5,Atributo 42,4,4,3,1,0
5,Atributo 43,3,3,2,3,0
5,Atributo 44,4,2,2,2,0
5,Atributo 45,1,1,3,0,0
5,Atributo 46,3,4,1,2,0
5,Atributo 47,4,4,4,3,0
5,Atributo 48,1,2,1,0,0
5,Atributo 49,4,3,1,4,4
5,Atributo 50,3,3,3,0,0
5,Atributo 51,4,4,4,1,0
5,Atributo 52,2,1,1,0,0
5,Atributo 53,5,4,3,3,3
5,Atributo 54,4,3,1,4,4
5,Atributo 55,5,3,1,4,5
5,Atributo 56,2,3,3,4,0
5,Atributo 57,3,1,1,1,5
5,Atributo 58,5,2,1,2,4
5,Atributo 59,2,3,2,3,0
5,Atributo 60,1,2,2,4,0
5,Atributo 61,3,1,2,0,0
5,Atributo 62,2,5,4,3,5
5,Atributo 63,4,4,2,1,2
6,Atributo 1,2,1,3,0,0
6,Atributo 2,1,1,2,3,0
6,Atributo 3,4,3,5,2,3
6,Atributo 4,3,1,2,0,0
6,Atributo 5,4,2,1,4,0
6,Atributo 6,5,5,3,3,4
6,Atributo 7,5,5,5,5,1
6,Atributo 8,2,1,1,0,0
6,Atributo 9,1,1,1,0,0
